text,label
"We will build 10,000 kilometres of subway lines in the next ten years.",promise
We expect the Japanese to increase tariffs next year.,not promise
We will work towards making Canada a better place.,not promise
AI will cause the loss of a million jobs next year.,not promise
The government will provide free college education to all students by 2025.,promise
Interest rates are expected to rise by next quarter.,not promise
"We will eliminate the income tax for individuals earning less than $30,000 by next year.",promise
The economy is predicted to grow by 4% in the coming fiscal year.,not promise
Our administration will ensure the construction of 500 new schools in rural areas within five years.,promise
Climate change will likely increase temperatures globally.,not promise
